0           0
5000        0.13
10000       0.25
15000       0.37
20000       0.48
25000       0.63
30000       0.77
35000       0.89
40000       1.02
45000       1.16
50000       1.26
55000       1.35
60000       1.54
65000       1.64
70000       1.77
75000       1.86
80000       1.98
85000       2.13
90000       2.26
95000       2.42
100000      2.51
